,City,Country,Latitude,Longitude,Time,Temperature (deg F),Humidity (%),Wind Speed (mph),Cloud Cover (%)
0,Tupik,RU,54.43,119.94,2019-03-28 22:34:53.005643,23.18,38.0,4.74,0.0
1,Vologda,RU,59.22,39.89,2019-03-28 22:34:53.282849,29.75,94.0,9.78,80.0
2,Maumere,ID,-8.63,122.22,2019-03-28 22:34:53.670821,82.58,100.0,2.39,36.0
3,Kurumkan,RU,54.33,110.32,2019-03-28 22:34:54.075568,21.56,64.0,2.28,64.0
4,Benghazi,LY,32.12,20.07,2019-03-28 22:34:54.646886,58.55,100.0,20.29,92.0
5,Ust-Tsilma,RU,65.44,52.15,2019-03-28 22:34:54.920679,28.58,72.0,8.21,12.0
6,Sigli,ID,5.38,95.96,2019-03-28 22:34:55.201182,83.57,94.0,5.3,32.0
7,Netrakona,BD,24.88,90.72,2019-03-28 22:34:55.717215,88.7,67.0,5.64,0.0
8,Maniitsoq,GL,65.42,-52.9,2019-03-28 22:34:55.989566,13.82,62.0,15.03,20.0
9,Orda,RU,57.2,56.91,2019-03-28 22:34:56.556590,33.17,98.0,5.3,68.0
10,Espinosa,BR,-14.92,-42.81,2019-03-28 22:34:56.851241,67.1,91.0,9.44,12.0
11,Baloda Bazar,IN,21.65,82.17,2019-03-28 22:34:57.389159,95.0,21.0,5.82,0.0
12,Karachi,PK,24.87,67.03,2019-03-28 22:34:57.930325,89.6,33.0,6.93,75.0
13,Mekhe,SN,15.11,-16.62,2019-03-28 22:34:58.310972,68.0,82.0,18.34,0.0
14,Timbuktu,ML,16.77,-3.01,2019-03-28 22:34:58.620652,76.73,36.0,1.5,48.0
15,Juxtlahuaca,MX,17.43,-99.15,2019-03-28 22:34:58.915074,49.19,89.0,1.39,0.0
16,Rio Grande,BR,-32.03,-52.1,2019-03-28 22:35:03.339182,72.14,82.0,17.38,68.0
17,Kiunga,PG,-6.12,141.3,2019-03-28 22:35:04.217185,87.53,67.0,2.84,48.0
18,North Myrtle Beach,US,33.83,-78.68,2019-03-28 22:35:04.571245,45.43,93.0,6.08,1.0
19,Bouca,CF,6.51,18.28,2019-03-28 22:35:04.895631,75.92,72.0,4.97,36.0
20,Qandala,SO,11.47,49.87,2019-03-28 22:35:06.404820,79.7,60.0,0.27,0.0
21,Santa Barbara,US,34.42,-119.7,2019-03-28 22:35:07.116249,52.16,93.0,4.7,1.0
22,Mangaldai,IN,26.43,92.03,2019-03-28 22:35:09.596808,86.0,48.0,4.7,20.0
23,Miandrivazo,MG,-19.53,45.46,2019-03-28 22:35:09.890539,80.24,68.0,3.96,0.0
24,Melfort,CA,52.87,-104.61,2019-03-28 22:35:10.253620,37.4,74.0,12.75,90.0
25,Palmas,BR,-10.18,-48.33,2019-03-28 22:35:10.963173,75.2,100.0,2.24,40.0
26,Balakovo,RU,52.02,47.82,2019-03-28 22:35:11.911282,30.02,97.0,6.64,32.0
27,Atuona,PF,-9.8,-139.03,2019-03-28 22:35:12.657996,80.69,100.0,14.7,92.0
28,Weihe,CN,32.99,105.33,2019-03-28 22:35:13.532463,68.27,23.0,2.73,0.0
29,Adet,ET,11.26,37.49,2019-03-28 22:35:14.978354,63.32,80.0,4.52,0.0
30,Rabo de Peixe,PT,37.8,-25.58,2019-03-28 22:35:15.776255,55.2,76.0,6.93,40.0
31,Tucurui,BR,-3.77,-49.67,2019-03-28 22:35:16.211086,73.04,99.0,1.05,92.0
32,Alekseyevka,RU,53.25,50.49,2019-03-28 22:35:16.569863,26.6,86.0,8.95,0.0
33,Port Lavaca,US,28.61,-96.63,2019-03-28 22:35:21.358440,63.84,82.0,4.7,1.0
34,Sherlovaya Gora,RU,50.53,116.31,2019-03-28 22:35:22.371160,28.67,28.0,12.68,12.0
35,Ngozi,BI,-2.91,29.82,2019-03-28 22:35:23.148967,63.68,92.0,4.18,0.0
36,Vryburg,ZA,-26.96,24.73,2019-03-28 22:35:24.459743,65.21,69.0,2.73,0.0
37,Fort Abbas,PK,29.19,72.85,2019-03-28 22:35:24.814872,93.56,45.0,2.84,8.0
38,Dwarka,IN,28.58,77.04,2019-03-28 22:35:25.162238,88.68,40.0,3.36,0.0
39,Porto-Vecchio,FR,41.59,9.28,2019-03-28 22:35:26.420466,41.04,69.0,5.82,0.0
40,Turayf,SA,31.68,38.65,2019-03-28 22:35:28.894975,51.8,66.0,4.41,90.0
41,Kolokani,ML,13.58,-8.03,2019-03-28 22:35:29.165222,76.82,71.0,0.27,80.0
42,Hohoe,GH,7.15,0.48,2019-03-28 22:35:30.820102,70.7,93.0,3.4,0.0
43,Koulamoutou,GA,-1.13,12.47,2019-03-28 22:35:31.792821,70.25,98.0,2.73,92.0
44,Varhaug,NO,58.61,5.65,2019-03-28 22:35:37.837685,43.43,93.0,6.93,75.0
45,Jian,IN,25.65,87.89,2019-03-28 22:35:38.461256,92.66,42.0,8.66,0.0
46,Marrakesh,MA,31.63,-7.99,2019-03-28 22:35:40.683749,57.2,87.0,3.36,40.0
47,Tendo,JP,38.35,140.4,2019-03-28 22:35:41.773774,51.19,36.0,10.29,40.0
48,Barrhead,CA,54.12,-114.4,2019-03-28 22:35:42.369291,33.8,74.0,3.36,20.0
49,Shively,US,38.2,-85.82,2019-03-28 22:35:42.976466,61.97,41.0,5.82,1.0
50,Moose Factory,CA,51.26,-80.61,2019-03-28 22:35:43.723138,10.4,66.0,10.29,75.0
51,Jining,CN,35.41,116.58,2019-03-28 22:35:44.208661,57.0,46.0,9.78,64.0
52,Alcudia,ES,39.85,3.12,2019-03-28 22:35:44.602003,43.61,100.0,4.7,0.0
53,Bria,CF,6.54,21.99,2019-03-28 22:35:44.913586,73.85,62.0,4.18,0.0
54,Kokoda,PG,-8.88,147.74,2019-03-28 22:35:45.290509,67.55,94.0,1.72,92.0
55,Maracaibo,CO,3.41,-75.78,2019-03-28 22:35:45.706634,73.4,83.0,4.7,75.0
56,Lar,IR,27.66,54.32,2019-03-28 22:35:45.926867,62.6,63.0,2.62,0.0
57,Kushikino,JP,31.72,130.27,2019-03-28 22:35:46.275268,64.15,45.0,8.05,75.0
58,Ubrique,ES,36.68,-5.45,2019-03-28 22:35:46.580773,49.57,75.0,8.32,0.0
59,Derbent,RU,42.06,48.29,2019-03-28 22:35:46.999163,34.52,93.0,4.07,88.0
60,Navahrudak,BY,53.59,25.82,2019-03-28 22:35:47.329770,36.86,84.0,12.35,8.0
61,Graaff-Reinet,ZA,-32.25,24.53,2019-03-28 22:35:48.724966,55.67,61.0,1.72,8.0
62,Komsomolskiy,RU,67.55,63.78,2019-03-28 22:35:52.974823,26.06,92.0,13.69,0.0
63,Bom Jardim,BR,-7.8,-35.59,2019-03-28 22:35:54.253120,71.6,94.0,5.64,40.0
64,Keningau,MY,5.33,116.16,2019-03-28 22:35:54.594875,91.4,63.0,6.93,75.0
65,Bajil,ES,38.23,-2.07,2019-03-28 22:35:54.898101,41.09,93.0,3.06,92.0
66,Akbarpur,IN,26.42,82.54,2019-03-28 22:35:55.212120,89.51,62.0,5.64,0.0
67,Mastung,PK,29.8,66.85,2019-03-28 22:35:56.873627,64.04,53.0,8.21,0.0
68,Hearst,CA,49.69,-83.67,2019-03-28 22:35:58.123489,19.94,65.0,3.85,64.0
69,Qinzhou,CN,21.96,108.62,2019-03-28 22:35:58.649520,81.5,81.0,3.18,12.0
70,Kabalo,CD,-6.05,26.92,2019-03-28 22:35:59.338525,71.78,99.0,7.76,36.0
71,Huntsville,US,34.73,-86.59,2019-03-28 22:36:01.905731,51.89,50.0,6.93,1.0
72,Escanaba,US,45.75,-87.06,2019-03-28 22:36:03.353635,29.08,80.0,3.36,90.0
73,Obo,CF,5.39,26.49,2019-03-28 22:36:06.454584,76.64,83.0,4.97,0.0
74,Boyuibe,BO,-20.43,-63.28,2019-03-28 22:36:06.864480,61.25,90.0,5.3,8.0
75,Kotelnich,RU,58.31,48.34,2019-03-28 22:36:07.531094,31.1,86.0,7.99,20.0
76,Laurel,US,45.67,-108.77,2019-03-28 22:36:08.568052,33.93,93.0,8.05,90.0
77,Ushibuka,JP,32.19,130.02,2019-03-28 22:36:10.371950,59.0,88.0,2.95,64.0
78,Port Augusta,AU,-32.49,137.76,2019-03-28 22:36:10.788480,71.8,49.0,24.16,0.0
79,Preston,GB,53.76,-2.71,2019-03-28 22:36:15.615293,37.44,93.0,2.24,0.0
80,Timbuktu,ML,16.77,-3.01,2019-03-28 22:36:15.795043,76.73,36.0,1.5,48.0
81,Wadi Musa,JO,30.32,35.48,2019-03-28 22:36:16.096790,59.0,62.0,8.05,75.0
82,Horsham,AU,-36.71,142.2,2019-03-28 22:36:16.673676,63.23,78.0,16.15,8.0
83,Nisia Floresta,BR,-6.09,-35.21,2019-03-28 22:36:16.977239,77.86,88.0,3.36,75.0
84,Derzhavinsk,KZ,51.1,66.31,2019-03-28 22:36:18.016884,40.37,100.0,18.5,88.0
85,Mweka,CD,-4.85,21.56,2019-03-28 22:36:18.462871,76.73,92.0,3.4,0.0
86,Yumen,CN,40.29,97.04,2019-03-28 22:36:18.649906,46.67,47.0,8.88,8.0
87,Coalinga,US,36.14,-120.36,2019-03-28 22:36:18.965026,52.21,50.0,21.92,75.0
88,Pravda,BG,43.16,25.69,2019-03-28 22:36:19.274006,24.8,100.0,2.24,36.0
89,Urengoy,RU,65.96,78.37,2019-03-28 22:36:20.602585,34.25,97.0,13.69,88.0
90,La Ronge,CA,55.1,-105.3,2019-03-28 22:36:20.891303,33.8,69.0,17.22,75.0
91,Godfrey,US,38.96,-90.19,2019-03-28 22:36:21.299476,55.11,100.0,6.93,90.0
92,Ha Tinh,VN,18.33,105.9,2019-03-28 22:36:21.922449,75.02,100.0,6.76,12.0
93,Urucara,BR,-2.54,-57.76,2019-03-28 22:36:22.576319,75.92,93.0,1.95,48.0
94,Calawag,PH,10.67,119.57,2019-03-28 22:36:23.639013,86.72,72.0,5.41,32.0
95,Kinshasa,CD,-4.32,15.31,2019-03-28 22:36:25.288350,74.32,94.0,3.51,20.0
96,Serta,IT,46.01,10.15,2019-03-28 22:36:25.638090,40.57,65.0,6.93,40.0
97,Morden,CA,49.19,-98.1,2019-03-28 22:36:25.950444,27.66,74.0,5.82,20.0
98,Aleksandrov Gay,RU,50.14,48.57,2019-03-28 22:36:32.915994,32.36,99.0,10.89,0.0
99,Babynino,RU,54.39,35.75,2019-03-28 22:36:33.489525,32.0,96.0,8.95,75.0
100,Lhokseumawe,ID,5.18,97.15,2019-03-28 22:36:34.648470,85.91,93.0,9.22,20.0
101,Hashtrud,IR,37.48,47.05,2019-03-28 22:36:35.271082,41.36,73.0,7.76,20.0
102,Madarounfa,NE,13.3,7.16,2019-03-28 22:36:36.093058,69.98,25.0,10.11,0.0
103,Filingue,NE,14.35,3.32,2019-03-28 22:36:36.392352,72.41,25.0,10.78,0.0
104,Durango,US,37.28,-107.88,2019-03-28 22:36:37.289507,43.47,45.0,3.85,1.0
105,Marshall,US,39.39,-87.69,2019-03-28 22:36:37.679008,53.83,93.0,6.93,90.0
106,Poum,MK,41.28,20.71,2019-03-28 22:36:38.124787,31.55,53.0,1.61,24.0
107,Emporia,US,38.4,-96.18,2019-03-28 22:36:38.323848,52.34,100.0,9.17,90.0
108,Ankang,CN,32.73,108.99,2019-03-28 22:36:38.931829,58.73,44.0,3.96,64.0
109,Dubai,AE,25.27,55.3,2019-03-28 22:36:40.089712,74.03,78.0,3.36,0.0
110,Umtata,ZA,-31.59,28.78,2019-03-28 22:36:40.420503,57.2,82.0,1.12,0.0
111,Pendleton,US,34.65,-82.78,2019-03-28 22:36:40.905979,42.82,93.0,2.95,1.0
112,Baruun-Urt,MN,46.68,113.28,2019-03-28 22:36:41.397697,30.02,25.0,13.8,44.0
113,Los Barrios,ES,36.19,-5.49,2019-03-28 22:36:42.414373,58.39,72.0,29.97,92.0
114,Bako,NG,9.68,6.4,2019-03-28 22:36:42.962609,84.2,39.0,5.82,0.0
115,Heihe,RU,50.24,127.51,2019-03-28 22:36:47.950664,30.2,26.0,8.95,40.0
116,Tsaratanana,MG,-16.8,47.65,2019-03-28 22:36:49.262812,79.07,84.0,2.62,0.0
117,Tommot,RU,58.97,126.27,2019-03-28 22:36:50.622647,20.39,48.0,3.62,32.0
118,Rongcheng,CN,37.16,122.42,2019-03-28 22:36:52.602138,48.0,66.0,10.0,92.0
119,Obregon,US,32.86,-114.79,2019-03-28 22:36:53.277557,67.37,28.0,17.22,1.0
120,Constitucion,MX,23.99,-104.67,2019-03-28 22:36:54.239381,61.0,28.0,4.0,0.0
121,Yovon,TJ,38.32,69.05,2019-03-28 22:36:54.726635,62.6,59.0,6.71,75.0
122,Shambu,ET,9.57,37.1,2019-03-28 22:36:55.382996,59.63,98.0,3.96,88.0
123,Aktau,KZ,43.65,51.16,2019-03-28 22:36:55.812918,41.0,93.0,4.47,90.0
124,Vila,IT,45.18,8.4,2019-03-28 22:36:56.432864,40.89,81.0,10.29,0.0
125,Malumfashi,NG,11.79,7.62,2019-03-28 22:36:56.893109,69.08,25.0,10.22,0.0
